Date,Time,Reference,Description,Type,Debit BTC,Credit BTC,Fee BTC,Balance BTC,Cost Basis,Gain/Loss BTC,Inscription ID,Counterpart Address,Transaction ID,Confirmed
2024-03-12,14:53:22,0a2bd03bae5429fa...,Inscription: 897bf16ccf5cd6ff... | To/From: bc1p4ap6hmlvgtz2...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,897bf16ccf5cd6fff8903fe32c50a1b59ba49d967ca0aa50122696933c499ce4i67,bc1p4ap6hmlvgtz2kg546764ah0zwn9eusnx7v84zu8rh8tzs7zx7nfsrwkfvy,0a2bd03bae5429fa5e9627e0bb26df7e0722b39376dbcf9297f9bf21db4bc09f,Yes
2024-03-14,23:41:01,57d8ff2cfdceacdd...,Inscription: 941fd32ec45d6990... | To/From: bc1p3wwt4je8dr2k...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,941fd32ec45d6990b1efdb59c9a38dd8c75482216c27dd7eaa8c69a708488a72i852,bc1p3wwt4je8dr2ke7pms30jlrpplrcupuvzt802958zsf48u27hcumqz0jedh,57d8ff2cfdceacddaeea5e760ac5c843efd8de051de976e3e599437329ba5e71,Yes
2024-04-10,21:59:31,2b125b6b58c7ab1f...,Inscription: 8322821411450950... | To/From: bc1p3qrp9t95dw9c...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8322821411450950953a840883f76903f24646f570b0842f1e251e7dde9f6891i0,bc1p3qrp9t95dw9crw94kvh36vcafz46mrln99yrvh4fygw6w7vv4dwsu8teyl,2b125b6b58c7ab1f9264be1043396e36d19614a5008dafbe5c812dd060ef0e91,Yes
2024-04-16,01:21:47,5eeacf761a88c0ab...,Inscription: 3e13d3898c0afa3c... | To/From: bc1ppdt4hh0hza4u...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3e13d3898c0afa3c5fb58321d8a0b314e6f5919f665f353fa9a0be45d7ee40b0i0,bc1ppdt4hh0hza4umld6s7thtyjt2v23xf4xqntcx52t2tr5trzxwm8q64eghy,5eeacf761a88c0ab8776cff05346071e10c974ca31565627cfcedd7f1d795f91,Yes
2024-04-19,17:39:37,ed623abdb0288911...,Inscription: b5012d70218ffa6c... | To/From: bc1pyu2fqm4petdf...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,bc1pyu2fqm4petdft2cnluyngpg4l5cc5w0def7z8ns3vlgt0mjqvzksq2hhpe,ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,Yes
2024-04-19,17:39:37,ed623abdb0288911...,Inscription: b5012d70218ffa6c... | To/From: bc1pyu2fqm4petdf...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i1,bc1pyu2fqm4petdft2cnluyngpg4l5cc5w0def7z8ns3vlgt0mjqvzksq2hhpe,ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,Yes
2024-04-20,22:51:46,641746e37c489d83...,Inscription: 93d4ec8f4b1ade64... | To/From: bc1pxy4x6f4yuxs5...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93d4ec8f4b1ade643efbc0485a770fe36b47d8206d2190ef9e4ace6a8469c4ffi0,bc1pxy4x6f4yuxs5hxjlf270j49vsuxqcrypyjlw5x7vtcsr3m67epwsafvsv9,641746e37c489d833bdcadf1e614382f6d9c707a151a8c233b03badbabd21d3e,Yes
2024-04-21,06:15:06,5df70fd0ef165060...,Inscription: b5700030e9be535a... | To/From: bc1pmezktt8k82tu...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,bc1pmezktt8k82tudrzqducdyrysywjj2r5pzj4yyrj8kdawhkk567js6f0aj5,5df70fd0ef16506034e0d0479851a0eafa710954e7a855d394fdd45ab6b5f2f3,Yes
2024-04-24,15:50:39,6b137e008cab2c3c...,Inscription: b5700030e9be535a... | To/From: 1A1zP1eP5QGefi2D...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,6b137e008cab2c3c7e3e6b10590f63d9ca48d19406f0859884f8f56ddc200a65,Yes
2024-04-30,12:12:41,34f782dce2869bbf...,Inscription: b5012d70218ffa6c... | To/From: bc1pypr4uw0vfev3...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,bc1pypr4uw0vfev3mdk9yekxt4fqkvm2ypxwafj3t0p752hkz88wp50qmhed08,34f782dce2869bbf97b359c5e4180e7a3c8c1a9d0c40dd0bd1b17ecba02d5c91,Yes
